 "Product Name", "Sell Price" 
 "GAMMA GLUTAMIL TRANSFERASA", "120" 
 "QUIMICA SANGUINEA-6 ELEMENTOS", "360" 
 "PERFIL DE LIPIDOS", "320" 
 "GLUCOSA POSTPANDRIAL", "170" 
 "QUIMICA SANGUINEA-12 ELEMENTOS", "800" 
 "QUIMICA SANGUINEA-24 ELEMENTOS", "1200" 
 "QUIMICA SANGUINEA-32 ELEMENTOS", "1600" 
 "QUIMICA SANGUINEA-45 ELEMENTOS", "2100" 
 "GLUCOSA", "85" 
 "UREA", "85" 
 "ACIDO URICO", "85" 
 "CREATININA", "85" 
 "ALBUMINA", "100" 
 "AMIBA EN FRESCO", "70" 
 "AMILASA", "200" 
 "ANTIESTREPTOLISINA", "110" 
 "ANTIGENO CA 125", "600" 
 "ANTIGENO CA 15.3", "600" 
 "ANTIGENO CA 19.3", "600" 
 "ANTIGENO CARCINOEMBRIONARIO", "600" 
 "ANTIGENO PROSTÁTICO ESPECIFICO (TOTAL)", "420" 
 "ANTIGENO PROSTATICO LIBRE", "420" 
 "ANTIGENO PROSTÁTICO LIBRE Y TOTAL", "770" 
 "AZUCARES REDUCTORES EN HECES", "120" 
 "BAAR EN ESPECTORACIÓN 1 MUESTRA", "110" 
 "BAAR EN ESPECTORACIÓN 3 MUESTRAS", "330" 
 "BAAR EN ESPECTORACIÓN 5 MUESTRAS", "550" 
 "BAAR EN ORINA", "110" 
 "BILIRRUBINA TOTAL Y DIRECTA", "160" 
 "CITOLOGIA EN MOCO FECAL", "80" 
 "CITOLOGIA EN MOCO NASAK IZQUIERDO Y DERECHO", "120" 
 "COLESTEROL TOTAL", "85" 
 "COPROPARASITOSCOPICO", "90" 
 "COPROPARASITOSCOPICO SERIADO (3 MUESTRAS)", "200" 
 "CURVA DE TOLERANCIA A LA GLUCOSA (4 TOMAS)", "570" 
 "TAMIZ DE 3 TOMASZ", "515" 
 "DENGUE IgM, IgG", "450" 
 "DEPURACION DE CREATININA EN ORINA 24 HORAS", "190" 
 "DESHIDROGENASA LACTICA", "120" 
 "ELECTROLITOS SODIO", "120" 
 "ELECTROLITOS CLORO", "120" 
 "ELECTROLITOS POTASIO", "120" 
 "ELECTROLITOS CALCIO", "120" 
 "ELECTROLITOS FOSFORO", "120" 
 "ELECTROLITO S MAGNECIO", "120" 
 "ELECTROLITO S (Na, K, Cl)", "300" 
 "ELECTROLITO S (Ca, P, Mg)", "300" 
 "ELECTROLITOS ORINA (Na, K, Cl)", "350" 
 "ESPERMATOBIOSCOPIA", "270" 
 "EXAMEN GENERAL DE ORINA (EGO)", "100" 
 "FACTOR REUMATOIDE", "110" 
 "FRACCION BETA HGC CUANTITATIVA", "550" 
 "GAMMA GLUTAMIL TRANSFERASA", "120" 
 "GLOBULINA", "90" 
 "GRUPO SANGUINEO Y FACTOR RH", "90" 
 "HELICOBACTER PILORY EN HECES", "480" 
 "HELICOBACTER PILORY IgA", "690" 
 "HELICOBACTER PILORY IgG", "690" 
 "HELICOBACTER PILORY IgM", "690" 
 "HEMOGLOBINA GLICOSILADA", "300" 
 "HIERRO", "250" 
 "HORMONA ADRENOCORTICOTROPICA", "PREGUNTAR" 
 "HORMONA DE CRECIMIENTO", "PREGUNTAR" 
 "HORMONA ESTIMULANTE DE LA TIROIDES", "340" 
 "HORMONA FOLICULO ESTIMULANTE", "340" 
 "HORMONA LUTEINIZANTE", "340" 
 "HORMONA PARATIROIDEA/ PARATOHORMONA", "910" 
 "INMUNOGLOBULINA IgA", "350" 
 "INMUNOGLOBULINA IgE ", "350" 
 "INMUNOGLOBULINA IgG", "350" 
 "INMUNOGLOBULINA IgM", "350" 
 "INSULINA", "350" 
 "LIPASA EN SUERO", "200" 
 "PERFIL DE INMUNOGLOBULINAS 4 (IgG, IgA, IgM, IgE)", "1050" 
 "PERFIL DE HIERRO (Fe, FERRITINA, TRANSFERASA)", "850" 
 "PERFIL DE LIPIDOS", "320" 
 "PERFIL DE DROGAS", "390" 
 "PERFIL HORMONAL FEMENINO I ", "1,200" 
 "PERFIL HORMONAL III", "1,850" 
 "PERFIL HORMONAL MASCULINO", "1,600" 
 "PERFIL TIROIDEO", "900" 
 "PERFIL TIROIDEO CON TIROGLOBULINA", "1,000" 
 "PRUEBAS FUNCIONALES HEPATICAS", "310" 
 "PUERBAS FUNCIONALES HEPATICAS 2 (PFH, GGT, DHL)", "700" 
 "PRENUPCIAL INVIDUAL", "380" 
 "PRENUPCIALES X2 (VIH, VDRL, TIPO Y RH)", "600" 
 "PROGESTERONA", "340" 
 "PROLACTINA", "340" 
 "PROTEINA C REACTIVA (CUANTITATIVA)", "300" 
 "PROTEINA C REACTIVA", "290" 
 "PROTEINA EN ORINA DE 24 HORAS", "200" 
 "PROTEINAS TOTALES", "270" 
 "PRUEBA DE EMBARAZO EN SANGRE", "130" 
 "PRUEBA DE EMBARAZO EN ORINA", "120" 
 "REACCIONES FEBRILES", "150" 
 "RETICULOCITOS", "200" 
 "SANGRE OCULTA EN HECES", "90" 
 "T3 LIBRE", "340" 
 "T3 TOTAL", "340" 
 "T4 LIBRE", "340" 
 "T4 TOTAL", "340" 
 "TAMIZ DE GLUCOSA CON 50 gr DE 1 HORA", "350" 
 "TESTOSTERONA LIBRE Y TOTAL (AMBAS)", "900" 
 "TESTOSTERONA TOTAL", "340" 
 "TESTOSTERONA LIBRE", "500" 
 "TRANSAMINASA GLUTAMICO OXALACETICA (TGO)", "90" 
 "TRANSAMINASA GLUTAMICO PIRUVICA (TGP)", "90" 
 "TIEMPO DE SANGRADO", "90" 
 "TIEMPO DE COAGULACION (TC)", "90" 
 "TIEMPO DE PROTROMBINA (TPT)", "100" 
 "TIEMPO DE TROMBINA (TT)", "300" 
 "TIEMPO DE TROMBOPLASTINA PARCIAL (TPT)", "100" 
 "TIROGLOBULINA", "500" 
 "TRIGLICERIDOS", "85" 
 "UREA EN ORINA DE 24 HORAS", "250" 
 "VDRL", "130" 
 "VELOCIDAD DE SEDIMENTACION GLOBULAR (VSG)", "80" 
 "VIH (SIDA)", "260" 
 "VITAMINA B12", "650" 
 "VITAMINA D", "750" 
 "BIOMETRIA HEMATICA", "190" 
 "AC ANTI (ANCA)-P", "900" 
 "AC ANTI (ANCA)- C Y P", "1,130" 
 "AC ANTI CHLAMYDIA TRACHOMATIS IgA e IgG", "1,320*" 
 "AC ANTI CHLAMYDIA TRACHOMATIS IgG", "650*" 
 "AC ANTI CHLAMYDIA TRACHOMATIS IgM", "960*" 
 "AC ANTI CITOMEGALOVIRUS IgG", "500*" 
 "AC ANTI CITOMEGALOVIRUS IgM", "500*" 
 "AC ANTI CITOMEGALOVIRUS IgG e IgM", "850*" 
 "Ac Anti Core Total de la Hepatitis B (Anti HBc)", "650" 
 "Ac Anti-Herpes I y II IgG e IgM", "1,660" 
 "AC ANTI HERPES II IgG e IgM", "850" 
 "Ac Anti-Herpes II IgG", "500" 
 "Ac Anti-Herpes II IgM", "500" 
 "Ac Anti-Herpes I IgM", "500" 
 "Ac Anti Rubeola IgG e IgM", "1,060" 
 "Ac Anti Rubeola IgG", "500" 
 "Ac Anti Rubeola IgM", "500" 
 "Ac Anti SMITH (SM)", "650" 
 "Ac Anti SS-A/Ro", "780" 
 "Ac Anti SS-B/La", "780" 
 "AC ANTI TIROIDEOS (MICROSOMALES Y TIROGLOBULINA)", "1,150" 
 "Ac Anti Tiroglobulina", "650" 
 "AC ANTI TRIPANOZOMA CRUZY IgG", "600" 
 "AC ANTIBRUCELA (IGG, IGM)", "pediente" 
 "Ac Anti Capside del virus de Eptein Barr IgG/IgM", "1,000*" 
 "Ac Anti Cardiolipinas IgG e IgM", "1,200*" 
 "Ac Anti Cardiolipina IgG", "550*" 
 "Ac Anti Cardiolipina IgM", "550*" 
 "Ac Anti Citomegalovirus IgG e IgM", "850" 
 "Ac Anti Citomegalovirus IgG", "500" 
 "Ac Anti Citomegalovirus IgM", "500" 
 "Ac Anti Toxoplasma IgG e IgM", "1,060" 
 "Ac Anti Toxoplasma IgG ", "500" 
 "Ac Anti Toxoplasma IgM", "500" 
 "AC. ANTI GAD. (MEXICO) LUN- MIERCOL", "1,920*" 
 "AC ANTIFOSFOLIPIDOS IgG,IgM", "1,750*" 
 "Ac Anti Nucleares (ANA Y DNA)", "1,235" 
 "AC ANTINUCLEARES ANA", "650" 
 "Ac Total de la Hepatitis C (Ac HCV )", "680" 
 "Ac IgM de la Hepatitis A (Anti VHA IgM)        ", "680" 
 "Ac Contra el Antígeno \"e\" de la Hepatitis B (ANTI HBe)", "680" 
 "Antígeno \"e\" de la Hepatitis B (HBe Ag)", "680" 
 "Ac del Ag de Superficie de la Hep.B(Anti-HBs)", "680" 
 "Antígeno de Superficie de la Hepatitis B (HBsAg)", "680" 
 "Panel viral de Hepatitis ", "1,700" 
 "AC. ANTI SARS-COV2 IgG/IgM (COVID-19)", "400" 
 "ANTIGENO SARS-COV2 (COVID-19)", "400" 
 " SARS-CoV-2 (COVID-19) POR PCR", "2,200" 
 "Ac. Anti Treponema pallidum", "450" 
 "ACIDO FOLICO **CENTRIFUGAR Y SEPARAR LA MUESTRA", "650" 
 "ACIDO URICO", "85" 
 "ACIDO URICO EN ORINA ", "200" 
 "ACIDO VALPROICO fecha y hr de ultima dosis", "800" 
 "ALBUMINA", "90" 
 "ALBUMINA EN ORINA DE :", "250" 
 "ALFAFETOPROTEÍNAS", "560" 
 "AMONIO", "400*" 
 "ANDROSTENEDIONA", "1,400*" 
 "ANTI CCP (ACIDO PEPTIDO C CITRULINADO)", "910" 
 "Anticoagulante Lúpico", "750" 
 "ANTIGENO 21.1 (CYFRA 21.1 MARCADOR TUMORAL)", "preguntar al laboratorio" 
 "ANTIGENO CA 72.4", "preguntar al laboratorio" 
 "Ag de Giardia y Cryptosporidium en Heces", "750" 
 "CALCIO EN ORINA DE 24 HRS", "250" 
 "CARBAMAZEPINA (Indicar hora ultimo medic)", "720" 
 "Calcitonina", "640" 
 "CARGA VIRAL DE HEPATITIS C", "2,600*" 
 "CELULAS L.E.", "200*" 
 "CH 50 (SE ENVIA A MEXICO)", "1,050*" 
 "Citoquímico de Liquido:", "900" 
 "Citoquímico de Liquido Pleural", "900" 
 "Citoquímico de Liquido Sinovial", "900" 
 "Citoquímico de Líquido Cefalorraquídeo", "900" 
 "CITOQUIMICO DE LIQUIDO ARTICULAR", "900" 
 "CITOQUIMICO DE LIQUIDO DE DIALISIS", "900" 
 "CITOQUIMICO DE LIQUIDO PERITONEAL", "900" 
 "CITRATO Y OXALATO EN ORINA 24 HRS", "2,500" 
 "COLESTEROL DE ALTA DENSIDAD (HDL)", "130" 
 "COLESTEROL DE BAJA DENSIDAD (LDL)", "130" 
 "COLESTEROL DE MUY BAJA DENSIDAD(VLDL)", "100" 
 "COLINESTERASA", "700" 
 "COMBS DIRECTO", "290" 
 "Coombs Indirecto (Ac. Anti - Rh) (SE HACE AQUÍ, EMBARAZO)", "310" 
 "COMPLEMENTO C3", "655" 
 "COMPLEMENTO C4", "655" 
